O*NET-SOC Code,Title,Task ID,Task,Demand Type,Justification
27-1024.00,Graphic Designers,15228,"Maintain archive of images, photos, or previous work products.",Bounded,Maintaining an archive is a finite administrative task where efficiency reduces the labor time required to manage existing assets rather than generating new demand for archiving services.
39-3091.00,Amusement and Recreation Attendants,5118,"Monitor activities to ensure adherence to rules and safety procedures, or arrange for the removal of unruly patrons.",Bounded,"The demand for safety monitoring is strictly limited by the physical presence of patrons and the operating hours of the facility, meaning increased efficiency reduces the number of staff required rather than creating new work."
11-9141.00,"Property, Real Estate, and Community Association Managers",7234,"Prepare and administer contracts for provision of property services, such as cleaning, maintenance, and security services.",Bounded,"The number of service contracts required for a property is finite and determined by the property's physical needs, so increasing efficiency in administration simply reduces the labor time required rather than generating more work."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12613,Depress pedals to lower electrodes that heat and seal edges of material.,Bounded,This is a routine production task where efficiency gains primarily reduce the labor time required to meet a fixed manufacturing quota rather than generating new demand.
29-2011.01,Cytogenetic Technologists,20573,Archive case documentation and study materials as required by regulations and laws.,Bounded,"Archiving documentation is a regulatory compliance task tied to a finite number of completed cases, so increasing efficiency simply reduces the time required to meet a fixed workload."
17-2051.02,Water/Wastewater Engineers,16348,Design sludge treatment plants.,Unbounded,"Efficiency in designing sludge treatment plants allows engineers to address a vast global backlog of infrastructure needs and improve the quality and sustainability of water treatment systems, which provides immense societal value."
27-4012.00,Broadcast Technicians,4016,Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field locations.,Bounded,"Once a clear signal is established for a scheduled broadcast, the task is complete, and increased efficiency simply reduces the time required for a fixed number of transmissions."
15-1252.00,Software Developers,21675,Specify power supply requirements and configuration.,Bounded,"Specifying power requirements is a discrete technical hurdle that is satiated once the parameters for a specific system are defined, meaning efficiency gains lead to labor savings rather than increased task volume."
43-5021.00,Couriers and Messengers,7013,"Receive messages or materials to be delivered, and information on recipients, such as names, addresses, telephone numbers, and delivery instructions, communicated via telephone, two-way radio, or in person.",Bounded,"The volume of delivery instructions is strictly limited by the number of physical items or messages being sent, so increasing efficiency in receiving this information does not generate additional demand for the task."
17-2199.06,Microsystems Engineers,16499,"Devise microelectromechanical systems (MEMS) production methods, such as integrated circuit fabrication, lithographic electroform modeling, or micromachining.",Unbounded,"Improving MEMS production methods enables the creation of more advanced and efficient technology, addressing a near-infinite demand for innovation in electronics, healthcare, and industrial applications."
29-2011.00,Medical and Clinical Laboratory Technologists,1894,"Supervise, train, or direct lab assistants, medical and clinical laboratory technicians or technologists, or other medical laboratory workers engaged in laboratory testing.",Unbounded,"Enhanced efficiency in supervising and training laboratory staff increases the capacity and accuracy of diagnostic testing, directly addressing the nearly infinite demand for improved healthcare outcomes."
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Adversarial,Promoting products at trade associations is a zero-sum competitive activity where increased efficiency leads to more intensive representation to maintain a market edge over rivals.
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,21990,"Modify electrical prototypes, parts, assemblies, or systems to correct functional deviations.",Unbounded,"Increasing the efficiency of correcting functional deviations in prototypes accelerates the iterative design process, enabling the development of more advanced technology and higher-quality engineering solutions."
37-3011.00,Landscaping and Groundskeeping Workers,9613,"Mark design boundaries, and paint natural or artificial turf fields with team logos or names before events.",Bounded,"The demand for field marking and logo painting is strictly limited by the number of scheduled events and available athletic fields, meaning increased efficiency simply reduces the time required rather than generating more work."
15-1231.00,Computer Network Support Specialists,18998,"Install new hardware or software systems or components, ensuring integration with existing network systems.",Unbounded,"Increased efficiency in deploying and integrating network components allows organizations to scale their digital infrastructure and adopt more complex technologies, satisfying a continuous demand for more robust and higher-quality computing environments."
19-2041.03,Industrial Ecologists,16889,Investigate the impact of changed land management or land use practices on ecosystems.,Unbounded,The scientific investigation of ecosystem impacts addresses a vast and critical backlog of environmental knowledge where increased efficiency enables more comprehensive research and better sustainability outcomes.
29-1141.03,Critical Care Nurses,18342,"Document patients' treatment plans, interventions, outcomes, or plan revisions.",Bounded,"Documentation is a fixed administrative requirement per patient encounter, and completing it more quickly satisfies the specific regulatory and clinical need without generating additional demand for more documentation."
17-2171.00,Petroleum Engineers,3598,"Coordinate activities of workers engaged in research, planning, and development.",Unbounded,"Efficiency in coordinating research and development allows for a greater volume and higher quality of engineering projects, addressing the nearly infinite global demand for energy innovation and resource optimization."
27-1025.00,Interior Designers,18519,"Coordinate with other professionals, such as contractors, architects, engineers, and plumbers, to ensure job success.",Bounded,"Coordination is a logistical overhead task required to complete a specific project, and increasing efficiency in this area reduces the labor hours needed for a fixed workload rather than creating new demand for coordination itself."
11-3051.00,Industrial Production Managers,43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Bounded,"Maintenance and equipment replacement are finite operational requirements of a facility, meaning that completing the coordination of these tasks more quickly does not create a need for more maintenance, but rather reduces the labor required for oversight."
29-1123.00,Physical Therapists,385,"Construct, maintain, or repair medical supportive devices.",Unbounded,"Efficiency in constructing and maintaining medical devices allows for higher quality patient care and the ability to address a vast, persistent backlog of rehabilitative needs."
47-2181.00,Roofers,13581,Install vapor barriers or layers of insulation on flat roofs.,Bounded,"The requirement for vapor barriers and insulation is strictly limited by the physical surface area of the specific roof being constructed, meaning increased efficiency simply reduces the labor time required for a finite task."
25-1021.00,"Computer Science Teachers, Postsecondary",5690,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Unbounded,"Staying current in the rapidly evolving field of computer science allows for the continuous improvement of curriculum and research quality, addressing an effectively infinite demand for new knowledge and technological advancement."
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",10191,"Unload finished products from conveyor belts, pack them in containers, and place containers in warehouses.",Bounded,"The volume of products to be packed and stored is strictly limited by the production output of the machines, meaning increased efficiency in this task simply reduces the labor required for a fixed workload."
15-1243.01,Data Warehousing Specialists,16120,"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",Unbounded,"Programming and software development in data warehousing face a near-infinite backlog of data integration and analytical needs, where increased efficiency leads to more complex and valuable data insights rather than a reduction in work."
39-3092.00,Costume Attendants,9621,"Design or construct costumes or send them to tailors for construction, major repairs, or alterations.",Bounded,"The demand for costume construction and repair is strictly limited by the specific requirements of a production's script and cast size, meaning efficiency gains result in less labor time rather than an increased volume of costumes."
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",23173,Serve as a point of contact between managerial staff and leaders of recreational or entertainment activities.,Bounded,"Communication and coordination between management and staff are finite requirements for operational efficiency, and completing these tasks faster simply reduces the labor hours needed for oversight rather than creating new demand."
49-9071.00,"Maintenance and Repair Workers, General",20670,"Dismantle machines, equipment, or devices to access and remove defective parts, using hoists, cranes, hand tools, or power tools.",Bounded,"The demand for dismantling machines is strictly limited by the frequency of mechanical failures, meaning increased efficiency reduces the total labor required rather than generating additional work."
27-1026.00,Merchandise Displayers and Window Trimmers,20754,"Assemble or set up displays, furniture, or products in store space, using colors, lights, pictures, or other accessories to display the product.",Adversarial,"Merchandise display is a form of visual marketing where stores compete for limited consumer attention, meaning efficiency gains are often reinvested into more frequent or elaborate display updates to maintain a competitive edge over rivals."
41-2031.00,Retail Salespersons,715,Estimate cost of repair or alteration of merchandise.,Bounded,"The demand for repair estimates is strictly limited by the volume of merchandise requiring service, so increasing efficiency does not generate additional work but rather reduces the time required for a fixed workload."
25-2023.00,"Career/Technical Education Teachers, Middle School",6609,Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,Bounded,"Safety monitoring and equipment instruction are tied to specific class sizes and schedules, where efficiency reduces the time required for oversight but does not generate additional demand for the task once safety standards are met."
11-9071.00,Gambling Managers,7196,Track supplies of money to tables and perform any required paperwork.,Bounded,"This is a routine administrative and compliance task where the workload is strictly limited by the number of active tables and transactions, meaning increased efficiency simply reduces the time required to meet a fixed operational requirement."
13-1041.04,Government Property Inspectors and Investigators,12896,Testify in court or at administrative proceedings concerning investigation findings.,Bounded,"The frequency of testifying is strictly limited by the number of legal or administrative cases that reach a hearing, so completing the task more efficiently does not create more demand for testimony."
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Bounded,"Goal setting is a periodic administrative requirement that is completed once a plan is established for a given timeframe, and increasing efficiency in this task does not generate a need for more goals."
17-2199.08,Robotics Engineers,16514,"Document robotic application development, maintenance, or changes.",Bounded,"Documentation is tied to specific development cycles and maintenance events, so once the technical records are complete for a given project, there is no further demand for that specific task."
25-9021.00,Farm and Home Management Educators,10980,Maintain records of services provided and the effects of advice given.,Bounded,"Record-keeping is a finite administrative requirement tied to the volume of services rendered, where increased efficiency simply reduces the time needed to document a fixed set of activities."
17-2081.00,Environmental Engineers,1372,"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",Bounded,"Administrative support and documentation are finite requirements tied to specific project milestones, where increased efficiency reduces the labor hours needed rather than creating new demand for more administration."
11-3031.03,Investment Fund Managers,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",Adversarial,"Presenting investment performance and risk data is a core component of competing for limited investor capital, where efficiency gains are reinvested into more frequent or sophisticated reporting to maintain a competitive advantage over rival funds."
53-6032.00,Aircraft Service Attendants,23836,Complete forms describing tasks completed.,Bounded,"The requirement to complete forms is strictly tied to the number of service tasks performed, meaning increased efficiency in documentation does not create more work but simply reduces the time needed for a fixed administrative requirement."
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",10676,Ride on moving cars by holding onto grab irons and standing on ladder steps.,Bounded,"The task of riding on rail cars is a functional requirement of yard operations limited by the fixed volume of freight being processed, meaning increased efficiency reduces labor needs rather than creating new demand."
15-1299.01,Web Administrators,14753,Document application and Web site changes or change procedures.,Bounded,"Documentation is strictly tied to the volume of system changes, meaning increased efficiency simply reduces the time required to meet a fixed requirement rather than generating new demand for documentation."
51-4041.00,Machinists,19906,"Separate scrap waste and related materials for reuse, recycling, or disposal.",Bounded,"The volume of scrap material is strictly limited by the output of the machining process, so increasing efficiency in sorting simply reduces the time required for a finite workload rather than creating new demand."
29-1141.03,Critical Care Nurses,18341,Document patients' medical histories and assessment findings.,Bounded,"Medical documentation is a finite administrative requirement for each patient encounter, and completing it more quickly fulfills a fixed clinical and legal obligation rather than generating new demand for more documentation."
25-1054.00,"Physics Teachers, Postsecondary",5929,Collaborate with colleagues to address teaching and research issues.,Unbounded,"Collaborating on teaching and research enhances the quality and volume of scientific knowledge and educational outcomes, both of which have nearly infinite societal demand."
51-5112.00,Printing Press Operators,19434,Download completed jobs to archive media so that questions can be answered or jobs replicated.,Bounded,"Archiving is a finite administrative requirement tied directly to the number of completed printing jobs, so increasing efficiency in this task simply reduces the time needed to manage a fixed workload rather than generating new demand."
11-9033.00,"Education Administrators, Postsecondary",5253,"Direct scholarship, fellowship, and loan programs, performing activities such as selecting recipients and distributing aid.",Bounded,"The distribution of scholarships and loans is limited by a fixed budget and a specific number of applicants per cycle, meaning increased efficiency simply reduces the labor required to complete a finite administrative workload."
19-2043.00,Hydrologists,9111,Develop or modify methods for conducting hydrologic studies.,Unbounded,"Improving hydrologic study methods allows for more comprehensive and accurate environmental modeling, addressing a vast and critical backlog of global water management and climate adaptation needs."
19-2041.00,"Environmental Scientists and Specialists, Including Health",1522,Determine data collection methods to be employed in research projects or surveys.,Unbounded,"Efficiency in designing research methods allows for more scientific inquiries to be launched, addressing an essentially infinite backlog of environmental and health questions to improve societal well-being."
51-8021.00,Stationary Engineers and Boiler Operators,10471,"Activate valves to maintain required amounts of water in boilers, to adjust supplies of combustion air, and to control the flow of fuel into burners.",Bounded,"The task is governed by the physical requirements of the boiler system and the specific demand for heat or power, meaning that once the necessary levels are maintained, there is no benefit to performing the task more frequently or at a higher volume."
51-4121.00,"Welders, Cutters, Solderers, and Brazers",23596,"Align and clamp workpieces together, using rules, squares, or hand tools, or position items in fixtures, jigs, or vises.",Bounded,"This task is a procedural step in a production cycle where demand is limited by the specific number of units required for a project or order, meaning increased efficiency simply reduces the time needed to meet a fixed production goal."
19-4099.01,Quality Control Analysts,16956,Perform visual inspections of finished products.,Bounded,"The demand for inspections is strictly limited by the number of products manufactured, so increased efficiency simply reduces the labor required for a fixed workload."
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",12504,"Determine paint flow, viscosity, and coating quality by performing visual inspections, or by using viscometers.",Bounded,"This quality control task is strictly limited by the volume of items scheduled for production, and performing it more efficiently does not generate additional demand for painting services."
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2156,"Greet and seat guests, and present menus and wine lists.",Bounded,"The demand for seating guests is strictly limited by the physical capacity of the restaurant and the number of arriving customers, meaning increased efficiency simply reduces the labor time required for a fixed volume of work."
13-1041.01,Environmental Compliance Inspectors,10840,Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.,Bounded,"The volume of regulatory updates and EPA laws is finite and determined by legislative cycles, meaning that once an inspector is fully informed of current standards, there is no additional demand for further research until new changes are officially published."
19-1023.00,Zoologists and Wildlife Biologists,18615,"Inform and respond to public regarding wildlife and conservation issues, such as plant identification, hunting ordinances, and nuisance wildlife.",Unbounded,"Improving the efficiency of public outreach enables biologists to satisfy a vast, underserved demand for conservation education and environmental guidance, which has nearly infinite societal and ecological value."
25-1067.00,"Sociology Teachers, Postsecondary",6093,Supervise students' laboratory and field work.,Unbounded,"Efficiency in supervising student research and field work allows for more intensive mentorship and the pursuit of more complex sociological inquiries, contributing to an infinite demand for knowledge and human capital development."
25-2021.00,"Elementary School Teachers, Except Special Education",6562,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Unbounded,"Improving teacher competence directly enhances educational quality, and there is an effectively infinite societal demand for better student outcomes and more effective instruction."
29-9091.00,Athletic Trainers,4237,Accompany injured athletes to hospitals.,Bounded,"The demand for this task is strictly limited by the occurrence of athlete injuries, and increasing efficiency in transport does not create a need for more hospital visits."
17-2112.01,Human Factors Engineers and Ergonomists,16381,"Prepare reports or presentations summarizing results or conclusions of human factors engineering or ergonomics activities, such as testing, investigation, or validation.",Unbounded,"Improving the safety and usability of systems through ergonomic reporting has nearly infinite demand, as efficiency gains allow for more comprehensive testing and the optimization of a wider range of products and environments."
47-5023.00,"Earth Drillers, Except Oil and Gas",13669,Verify depths and alignments of boring positions.,Bounded,"The verification of boring positions is limited by the specific requirements of a construction or geological project, meaning that increased efficiency simply reduces the time needed to complete a finite set of tasks."
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",22464,"Grade homework and tests, and compute and record results, using answer sheets or electronic marking devices.",Bounded,"Grading is tied to a fixed number of students and assignments, so completing the task more efficiently does not generate additional demand for grading but rather reduces the total labor time required to meet the existing workload."
33-3012.00,Correctional Officers and Jailers,15259,"Serve meals, distribute commissary items, and dispense prescribed medication to prisoners.",Bounded,"The demand for meals and medication is strictly limited by the number of inmates, so completing these tasks more efficiently does not create additional work but rather reduces the labor time required for a fixed output."
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,2990,"Specialize in repairing and maintaining parts of the engine, such as fuel injection systems.",Bounded,"The demand for engine maintenance is strictly limited by the number of vehicles in operation and their mechanical failure rates, meaning increased efficiency reduces the labor required for a fixed workload."
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2492,"Compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",Bounded,"Financial and accounting reports are typically produced on a fixed schedule to meet specific regulatory or management requirements, meaning increased efficiency reduces the labor needed rather than generating a demand for more reports."
41-9021.00,Real Estate Brokers,4616,"Develop, sell, or lease property used for industry or manufacturing.",Adversarial,Real estate brokerage is a competitive sales environment where efficiency gains are reinvested into capturing more market share and outperforming rival brokers in a zero-sum pursuit of limited property transactions.
49-9051.00,Electrical Power-Line Installers and Repairers,8423,Replace or straighten damaged poles.,Bounded,"The demand for replacing or straightening poles is strictly limited by the physical number of damaged poles in the infrastructure, meaning increased efficiency simply reduces the time needed to complete a finite workload."
11-3061.00,Purchasing Managers,1028,"Participate in the development of specifications for equipment, products, or substitute materials.",Unbounded,"Developing and refining specifications for materials and equipment allows for continuous optimization of product quality and cost-efficiency, where time saved can be reinvested into finding even better substitutes or higher-performing resources."
53-2012.00,Commercial Pilots,10612,Check the flight performance of new and experimental planes.,Unbounded,"Increasing the efficiency of testing experimental aircraft accelerates aerospace innovation and safety improvements, addressing a continuous and high-value demand for more advanced transportation technology."
29-1229.06,Sports Medicine Physicians,17273,Order and interpret the results of laboratory tests and diagnostic imaging procedures.,Unbounded,"Efficiency in diagnostic interpretation allows for more precise and frequent patient assessments, addressing a vast and continuous demand for improved health outcomes and preventative care."
47-2142.00,Paperhangers,14913,"Measure and cut strips from rolls of wallpaper or fabric, using shears or razors.",Bounded,"The task of cutting wallpaper is strictly limited by the physical dimensions of the specific project, meaning increased efficiency only reduces the time needed to complete a fixed amount of work."
21-1094.00,Community Health Workers,19032,"Monitor nutrition of children, elderly, or other high-risk groups.",Unbounded,"Increased efficiency in monitoring nutrition allows health workers to reach more vulnerable individuals or provide more frequent, higher-quality care, addressing a vast and persistent public health need."
45-4021.00,Fallers,13497,Secure steel cables or chains to logs for dragging by tractors or for pulling by cable yarding systems.,Bounded,"The volume of logs requiring cable attachment is strictly limited by the number of trees felled, meaning increased efficiency reduces the labor required for a fixed workload rather than creating new demand."
17-2021.00,Agricultural Engineers,5328,"Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.",Unbounded,"Improving the efficiency and quality of agricultural infrastructure directly contributes to global food security and sustainability, where better designs create continuous opportunities for systemic improvement and increased output."
25-1032.00,"Engineering Teachers, Postsecondary",5756,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",Bounded,"Grading is tied to a fixed number of students and assignments per course, so increased efficiency reduces the time needed for the task rather than creating new demand for more grading."
47-2231.00,Solar Photovoltaic Installers,17743,"Perform routine photovoltaic (PV) system maintenance on modules, arrays, batteries, power conditioning equipment, safety systems, structural systems, weather sealing, or balance of systems equipment.",Bounded,"Routine maintenance is dictated by the fixed number of existing solar installations and their specific service schedules, so increased efficiency simply reduces the labor hours required for a finite workload."
19-3032.00,Industrial-Organizational Psychologists,7565,Identify training and development needs.,Unbounded,Identifying training needs is a continuous process of human capital optimization where increased efficiency allows for more frequent and precise interventions to keep pace with evolving technological and organizational demands.
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3001,Repair and replace damaged or worn parts.,Bounded,"The demand for equipment repair is strictly limited by the physical wear and failure rates of the machinery, meaning increased efficiency reduces the labor required for a finite workload rather than creating new demand."
51-4121.00,"Welders, Cutters, Solderers, and Brazers",23605,"Check grooves, angles, or gap allowances, using micrometers, calipers, and precision measuring instruments.",Bounded,"Precision measurement is a finite quality control step required for specific production units; once specifications are verified, the task is complete and does not generate additional demand."
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,13774,"Repair and maintain gasoline engines used to power equipment such as portable saws, lawn mowers, generators, and compressors.",Bounded,"The demand for engine repair is strictly limited by the finite number of machines in operation and their physical failure rates, meaning increased efficiency leads to fewer labor hours required rather than an expansion of the workload."
47-5071.00,"Roustabouts, Oil and Gas",7120,Supply equipment to rig floors as requested and provide assistance to roughnecks.,Bounded,"The demand for equipment supply and assistance is strictly limited by the physical operational needs of the drilling rig, meaning increased efficiency simply reduces the labor hours required for a fixed set of tasks."
19-4071.00,Forest and Conservation Technicians,5577,"Provide forestry education and general information, advice, and recommendations to woodlot owners, community organizations, and the general public.",Unbounded,"The demand for environmental education and conservation advice is effectively infinite, as increased efficiency allows for broader public engagement and better land management outcomes across a vast number of potential stakeholders."
19-1013.00,Soil and Plant Scientists,9022,"Provide information or recommendations to farmers or other landowners regarding ways in which they can best use land, promote plant growth, or avoid or correct problems such as erosion.",Unbounded,"Increasing the efficiency of scientific land-use recommendations allows for the optimization of more acreage and the mitigation of complex environmental issues, addressing a near-infinite global demand for food security and sustainable land management."
27-1021.00,Commercial and Industrial Designers,6902,"Evaluate feasibility of design ideas, based on factors such as appearance, safety, function, serviceability, budget, production costs/methods, and market characteristics.",Unbounded,"Increasing the efficiency of feasibility evaluations allows for more design iterations and higher-quality product development, satisfying an ongoing demand for innovation and better consumer goods."
33-3012.00,Correctional Officers and Jailers,2119,"Sponsor inmate recreational activities, such as newspapers and self-help groups.",Bounded,"The demand for sponsoring inmate activities is limited by the fixed number of inmates and the facility's scheduled programming, so completing the task faster does not generate additional work."
